Date,Close
11/14/2019,44.45
11/15/2019,43.91
11/18/2019,44.46
11/19/2019,44.29
11/20/2019,43.93
11/21/2019,43.29
11/22/2019,43.2
11/25/2019,43.76
11/26/2019,44.84
11/27/2019,44.62
11/29/2019,43.85
12/2/2019,43.84
12/3/2019,43.51
12/4/2019,43.28
12/5/2019,44.71
12/6/2019,44.71
12/9/2019,44.38
12/10/2019,43.81
12/11/2019,43.92
12/12/2019,43.9
12/13/2019,43.52
12/16/2019,43.32
12/17/2019,42.8
12/18/2019,42.45
12/19/2019,42.83
12/20/2019,43.66
12/23/2019,43.06
12/24/2019,43.23
12/26/2019,42.8
12/27/2019,42.72
12/30/2019,42.49
12/31/2019,42.43
1/2/2020,42.42
1/3/2020,42.4
1/6/2020,42.38
1/7/2020,42.17
1/8/2020,42.21
1/9/2020,42.15
1/10/2020,41.94
1/13/2020,41.73
1/14/2020,41.22
1/15/2020,41.31
1/16/2020,41.43
1/17/2020,41.11
1/21/2020,41.25
1/22/2020,41.33
1/23/2020,41.5
1/24/2020,40.8
1/27/2020,41
1/28/2020,41.36
1/29/2020,41.53
1/30/2020,42.01
1/31/2020,41.81
2/3/2020,42.59
2/4/2020,42.61
2/5/2020,42.9
2/6/2020,43.7
2/7/2020,43.49
2/10/2020,43.79
2/11/2020,43.93
2/12/2020,43.59
2/13/2020,43.16
2/14/2020,43.67
2/18/2020,44.57
2/19/2020,46.51
2/20/2020,41
2/21/2020,38.27
2/24/2020,38.47
2/25/2020,36.46
2/26/2020,36.18
2/27/2020,35.93
2/28/2020,36.51
3/2/2020,36.95
3/3/2020,37.42
3/4/2020,39.1
3/5/2020,37.82
3/6/2020,37.89
3/9/2020,35.46
3/10/2020,36.02
3/11/2020,33.92
3/12/2020,29.34
3/13/2020,30.48
3/16/2020,25.6
3/17/2020,23.77
3/18/2020,17.13
3/19/2020,18.65
3/20/2020,18.6
3/23/2020,17.85
3/24/2020,19.56
3/25/2020,20.14
3/26/2020,24.12
3/27/2020,21.92
3/30/2020,21.98
3/31/2020,20.75
4/1/2020,18.22
4/2/2020,17.57
4/3/2020,17.46
4/6/2020,18.45
4/7/2020,20.17
4/8/2020,21
4/9/2020,22.51
4/13/2020,21.55
4/14/2020,22.83
4/15/2020,21.48
4/16/2020,20.84
4/17/2020,21.21
4/20/2020,20.61
4/21/2020,20.33
4/22/2020,20.02
4/23/2020,20.29
4/24/2020,20.33
4/27/2020,21.37
4/28/2020,21.41
4/29/2020,23.06
4/30/2020,21.09
5/1/2020,21.05
5/4/2020,20.92
5/5/2020,19.56
5/6/2020,18.53
5/7/2020,20.2
5/8/2020,19.59
5/11/2020,19.5
5/12/2020,18.56
5/13/2020,16.73
5/14/2020,16.74
5/15/2020,16.81
5/18/2020,18.61
5/19/2020,18.63
5/20/2020,18.92
5/21/2020,19.08
5/22/2020,19.27
5/26/2020,21.3
5/27/2020,22.4
5/28/2020,20.94
5/29/2020,20.37
6/1/2020,21.56
6/2/2020,21.55
6/3/2020,22.28
6/4/2020,23.87
6/5/2020,25.12
6/8/2020,26.87
6/9/2020,25.25
6/10/2020,22.9
6/11/2020,21.29
6/12/2020,21.58
6/15/2020,21.87
6/16/2020,22.53
6/17/2020,21.72
6/18/2020,21.89
6/19/2020,20.85
6/22/2020,20.7
6/23/2020,20.47
6/24/2020,19.32
6/25/2020,19.31
6/26/2020,18.9
6/29/2020,19.13
6/30/2020,20.71
7/1/2020,19.82
7/2/2020,19.62
7/6/2020,19.27
7/7/2020,18.88
7/8/2020,18.18
7/9/2020,16.7
7/10/2020,17.45
7/13/2020,17.72
7/14/2020,17.2
7/15/2020,18.24
7/16/2020,18.52
7/17/2020,18.48
7/20/2020,17.63
7/21/2020,18.1
7/22/2020,17.64
7/23/2020,17.6
7/24/2020,17.05
7/27/2020,16.25
7/28/2020,16.22
7/29/2020,16.61
7/30/2020,15.81
7/31/2020,15.89
8/3/2020,16.31
8/4/2020,16.88
8/5/2020,17.62
8/6/2020,18.2
8/7/2020,16.02
8/10/2020,16.22
8/11/2020,17.26
8/12/2020,18.74
8/13/2020,18.35
8/14/2020,19.42
8/17/2020,19.38
8/18/2020,19.3
8/19/2020,19.35
8/20/2020,19.5
8/21/2020,19.67
8/24/2020,20.29
8/25/2020,20.59
8/26/2020,20.66
8/27/2020,20.81
8/28/2020,20.94
8/31/2020,20.51
9/1/2020,20.59
9/2/2020,20.52
9/3/2020,20.65
9/4/2020,19.23
9/8/2020,19.07
9/9/2020,18.81
9/10/2020,19.06
9/11/2020,18.26
9/14/2020,18.15
9/15/2020,18.02
9/16/2020,18.72
9/17/2020,18.58
9/18/2020,18.52
9/21/2020,17.19
9/22/2020,17.72
9/23/2020,17.21
9/24/2020,17.62
9/25/2020,18.22
9/28/2020,18.75
9/29/2020,17.98
9/30/2020,17.95
10/1/2020,18.21
10/2/2020,19.26
10/5/2020,19.25
10/6/2020,18.73
10/7/2020,19
10/8/2020,19.33
10/9/2020,18.87
10/12/2020,18.96
10/13/2020,18.26
10/14/2020,17.85
10/15/2020,18
10/16/2020,17.81
10/19/2020,17.14
10/20/2020,17.3
10/21/2020,17.35
10/22/2020,17.98
10/23/2020,18.63
10/26/2020,18.74
10/27/2020,18.86
10/28/2020,18.54
10/29/2020,18.62
10/30/2020,18.43
11/2/2020,19.18
11/3/2020,19.85
11/4/2020,19.51
11/5/2020,21.04
11/6/2020,22.22
11/9/2020,25.15
11/10/2020,25.78
11/11/2020,26.46
11/12/2020,26.14
